,Exchange,Coin,Pair,Volume
287,Okex,High performance blockchain,HPB/BTC,900824
288,Hitbtc,Hirematch,HIRE/BTC,48
289,Okex,Hitchain,HIT/BTC,3096
290,Hitbtc,Hive project,HVN/BTC,4839
291,Binance,Holo,HOT/BTC,352057
292,Hitbtc,Hoqu,HQX/BTC,134910
293,Okex,Hshare,HSR/BTC,8030984
294,Hitbtc,Htmlcoin,HTML/BTC,448
295,Bittrex,Humaniq,HMQ/BTC,30573
296,Poloniex,Huntercoin,HUC/BTC,1331
297,Okex,Hycon,HYC/BTC,894896
298,Okex,Hydro protocol,HOT/BTC,17246
299,Bittrex,I/o coin,IOC/BTC,4160
300,Binance,Icon,ICX/BTC,3632908
301,Binance,Iconomi,ICN/BTC,80649
302,Hitbtc,Icos,ICOS/BTC,4041
303,Binance,Iexec rlc,RLC/BTC,51320
304,Bittrex,Ignis,IGNIS/BTC,16782
305,Kucoin,Iht real estate protocol,IHT/BTC,175
306,Hitbtc,Imbrex,REX/BTC,756
307,Bittrex,Incent,INCNT/BTC,577
308,Hitbtc,Indahash,IDH/BTC,1855
309,Hitbtc,Indicoin,INDI/BTC,3
310,Hitbtc,Ink,INK/BTC,1
311,Binance,Ins ecosystem,INS/BTC,2166510
312,Okex,Insurchain,INSUR/BTC,82374
313,Okex,Internet node token,INT/BTC,630244
314,Bittrex,Internet of people,IOP/BTC,7191
315,Hitbtc,Investfeed,IFT/BTC,26
316,Bittrex,Ion,ION/BTC,27923
317,Binance,Iost,IOST/BTC,1071670
318,Okex,Iot chain,ITC/BTC,575759
319,Binance,Iota,IOTA/BTC,5752011
320,Binance,Iotex,IOTX/BTC,330784
321,Okex,Ipchain,IPC/BTC,2818
322,Kucoin,Iungo,ING/BTC,16459
323,Hitbtc,Ivy,IVY/BTC,2120
324,Hitbtc,Ixt,IXT/BTC,1158
325,Kucoin,Jet8,J8T/BTC,6697
326,Kucoin,Jibrel network,JNT/BTC,820
327,Hitbtc,Jury.online token,JOT/BTC,33529
328,Hitbtc,Karatgold coin,KBC/BTC,4492
329,Okex,Kcash,KCASH/BTC,513635
330,Kucoin,Kickcoin,KICK/BTC,13488
331,Hitbtc,Kind ads token,KIND/BTC,5813
332,Binance,Komodo,KMD/BTC,128536
333,Bittrex,Kore,KORE/BTC,7557
334,Hitbtc,Kubera coin,KBR/BTC,11048
335,Kucoin,Kucoin shares,KCS/BTC,111657
336,Okex,Kyber network,KNC/BTC,513558
337,Kucoin,Lala world,LALA/BTC,46890
338,Hitbtc,Lamden,TAU/BTC,2714
339,Hitbtc,Lampix,PIX/BTC,555
340,Okex,Latoken,LA/BTC,58410
341,Bittrex,Lbry credits,LBC/BTC,13156
342,Hitbtc,Leadcoin,LDC/BTC,3
343,Hitbtc,Level up coin,LUC/BTC,5004
344,Okex,Leverj,LEV/BTC,1760
345,Okex,Libra credit,LBA/BTC,371392
346,Hitbtc,Life,LIFE/BTC,2647
347,Okex,Lightchain,LIGHT/BTC,447648
348,Hitbtc,Linker coin,LNC/BTC,26521
349,Okex,Linkeye,LET/BTC,3691
350,Hitbtc,Lisk,LSK/BTC,748871
351,Okex,Litecoin,LTC/BTC,34269668
352,Hitbtc,Litecoin cash,LCC/BTC,1996
353,Kucoin,Locicoin,LOCI/BTC,12565
354,Hitbtc,Locktrip,LOC/BTC,64636
355,Bittrex,Lomocoin,LMC/BTC,4303
356,Binance,Loom network,LOOM/BTC,861901
357,Okex,Loopring,LRC/BTC,239580
358,Binance,Lunyr,LUN/BTC,409807
359,Kucoin,Lympo,LYM/BTC,292348
360,Hitbtc,Maecenas,ART/BTC,5767
361,Okex,Maggie,MAG/BTC,6984
362,Bittrex,Magi,XMG/BTC,5140
363,Hitbtc,Maidsafecoin,MAID/BTC,824315
364,Binance,Mainframe,MFT/BTC,1410719
365,Okex,Maker,MKR/BTC,41500
366,Bittrex,Matchpool,GUP/BTC,34521
367,Kucoin,Matrix ai network,MAN/BTC,38372
368,Hitbtc,Matryx,MTX/BTC,0
369,Hitbtc,Maximine coin,MXM/BTC,2188
370,Hitbtc,Mcap,MCAP/BTC,21328
371,Okex,Mco,MCO/BTC,3802285
372,Okex,Measurable data token,MDT/BTC,1560
373,Kucoin,Medicalchain,MTN/BTC,63646
374,Kraken,Melon,MLN/BTC,82946
375,Bittrex,Memetic / pepecoin,MEME/BTC,21761
376,Okex,Merculet,MVP/BTC,1100
377,Bittrex,Mercury,MER/BTC,1924
378,Binance,Metal,MTL/BTC,656889
379,Bitfinex,Metaverse etp,ETP/BTC,487899
380,Okex,Micromoney,AMM/BTC,718
381,Hitbtc,Minereum,MNE/BTC,309
382,Hitbtc,Minexcoin,MNX/BTC,0
